,Exclusion Code,D,G,Galaxy ID,m-M,err,D (Mpc),Method,REFCODE,SN ID,redshift (z),Hubble const.,Adopted LMC modulus,Date (Yr. - 1980),Notes
138803,,94063,26040,2MASX J08373545+0748303,33.25,,44.6,Tully-Fisher,2015AstBu..70....1K,,,,,35,
139025,,94273,26207,NGC 2623,33.49,,50.0,Tully-Fisher,1994A&A...283...21S,,,75.0,,14,HI
139026,,94274,26207,NGC 2623,33.93,,61.1,Tully-Fisher,1994A&A...283...21S,,,75.0,,14,CO
139051,,94287,26220,ESO 431- G 023,34.25,,70.8,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
139052,,94288,26220,ESO 431- G 023,34.25,,71.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
139053,,94289,26220,ESO 431- G 023,34.26,,71.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
139447,,94682,26568,AGC 182493,32.98,,39.4,Tully-Fisher,2015AstBu..70....1K,,,,,35,
139640,,94872,26737,FGC 0782,35.34,,117.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
139641,,94873,26737,FGC 0782,35.36,,118.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
139642,,94874,26737,FGC 0782,35.38,,119.0,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
139643,,94875,26737,FGC 0782,35.39,,120.0,Tully-Fisher,2000BSAO...50....5K,,,,,20,
139776,,95008,26845,FGC 0781,33.01,,39.9,Tully-Fisher,2000BSAO...50....5K,,,,,20,
139777,,95009,26845,FGC 0781,33.02,,40.2,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
139778,,95010,26845,FGC 0781,33.03,,40.4,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
139779,,95011,26845,FGC 0781,33.06,,40.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
139982,,95214,27023,UGC 04537,33.64,,53.5,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
139983,,95215,27023,UGC 04537,33.66,,53.9,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole
139984,,95216,27023,UGC 04537,33.67,,54.1,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole
139985,,95217,27023,UGC 04537,33.72,,55.5,Tully-Fisher,2000BSAO...50....5K,,,,,20,
141523,,96726,28288,ESO 496- G 010,29.46,,7.8,Tully-Fisher,2013AJ....145..101K,,,,,33,
141625,,96816,28336,UGC 04586,34.83,,92.3,Tully-Fisher,2010Ap&SS.325..163P,,,,,30,Dipole + Quadrupole + Octopole
