,objname,j2000,meas,H (Mpc),D (Mpc),P (Mpc),Q (Mpc),M (Mpc),Dmin (Mpc),Dmax (Mpc)
2087,UGC04550                      ,J084316.0+130509,3,5.0692349902496145,33.80157078845066,3.9680206733895456,7.567574145458938,5.785163781045148,29.20581743124336,39.69292563236867
2088,UGC04559                      ,J084407.6+300709,3,5.264656878321307,40.46493382257971,4.819188636831256,6.891089637710836,6.209130129521966,35.746516351866596,46.73666804868985
2089,UGC04565                      ,J084421.8+093215,2,6.42206831967486,87.09628682936354,13.749959259943283,13.888403742464181,13.056463243995049,79.37593661953852,94.20627729435759
2090,UGC04601                      ,J085707.2+844831,2,2.2707844907308576,30.01320784050473,4.781314520378,5.7141277392049385,4.549503546642816,27.37662752975019,32.531320633251184
2091,UGC04614                      ,J084916.4+360712,4,15.420080227291994,115.86882020552805,1.0223097833021153,7.954229045671927,11.861048876481414,99.60909711304011,130.39151786496922
2092,UGC04621                      ,J085011.8+350435,2,2.452517371710058,33.15397457791189,5.253700919446356,5.836009852110168,5.047280487184521,30.30524317600374,35.89579371866559
2093,UGC04623                      ,J085311.1+762910,2,3.391689908973161,44.00304044765246,6.85032612365085,8.521039242242155,6.693598211787369,39.991147527357164,47.62307521104571
2094,UGC04625                      ,J085017.7+032951,2,9.967548840333235,133.4909276773515,20.899576072525413,21.310067869348078,20.186091804962963,121.47068929155236,144.6417699416161
2095,UGC04640                      ,J085143.8-020802,3,5.322768377704807,50.64011227209254,3.1125637288167813,4.602358385928152,5.43947466364564,44.20907968621865,54.25476770901948
2096,UGC04655                      ,J085332.7+044657,2,6.743886728623118,93.19587571333616,14.650160916934226,15.024890876133602,13.8740791530504,85.08349682618984,100.63341983476502
2097,UGC04659                      ,J085440.5+470617,2,2.67794899988489,36.526323798728626,5.746668766838324,6.021554338800301,5.50469607854129,33.24624934265689,39.520246280526386
2098,UGC04725                      ,J090055.2+315935,2,3.0949210908468032,41.936576284734144,6.624011587838531,6.666773454315869,6.2618102883734705,38.341826056646035,45.378562706741064
2099,UGC04777                      ,J090640.5+343709,3,3.862977671250899,31.57561991805554,3.8362669783608276,4.662061834410128,4.651603311793221,27.891251269113717,35.89995734725035
2100,UGC04800                      ,J090919.7+545442,3,4.949223598110935,42.57536754162931,5.137518494548147,5.180422999028892,6.022812122504588,37.926646793095045,48.33303822321326
